Date,+3d,daily_transactions
2022-01-18,-15.5%,"500.0, 500.0, 400.0, 600.0, 600.0, 100.0, 962.0, 500.0, 0.0, 700.0"
2022-01-19,-17.7%,"557.0, 573.0, 25.0, 650.0, 767.0, 501.0, 501.0, 467.0"
2022-01-20,-15.6%,"500.0, 615.0, 0.0, 500.0"
2022-02-27,+19.5%,"826.0, 800.0"
2022-05-06,-15.9%,"292.0, 292.0, 292.0, 292.0, 292.0, 292.0, 800.0, 292.0, 752.0, 0.0, 700.0, 703.0, 813.0, 292.0, 501.0, 699.0, 570.0, 557.0, 0.0, 57.0, 15.0, 612.0, 746.0, 0.0, 600.0, 700.0, 700.0, 689.0, 698.0, 2.0, 999.0, 563.0"
2022-05-08,-17.3%,"0.0, 924.0, 500.0, 470.0, 965.0, 475.0, 540.0, 0.0, 377.0, 855.0, 0.0, 900.0, 0.0, 687.0, 0.0, 0.0, 500.0, 600.0, 500.0, 500.0, 0.0, 0.0, 0.0, 900.0, 5.0, 900.0"
2022-06-10,-23.9%,"0.0, 243.0, 262.0, 139.0, 104.0, 375.0, 92.0, 0.0, 741.0, 699.0, 387.0, 387.0, 700.0, 0.0"
2022-06-11,-26.1%,"605.0, 737.0, 850.0, 500.0, 0.0, 0.0"
2022-06-12,-24.6%,"0.0, 0.0, 500.0, 0.0, 306.0, 0.0, 0.0, 830.0, 160.0, 250.0, 0.0, 0.0, 0.0, 0.0, 387.0"
2022-06-15,-21.5%,"0.0, 300.0, 366.0, 172.0, 0.0, 78.0, 800.0, 0.0, 427.0, 973.0, 0.0, 119.0, 100.0, 0.0, 16.0, 0.0, 0.0, 400.0, 500.0, 0.0, 563.0, 0.0, 0.0, 355.0, 500.0, 751.0, 0.0, 0.0, 104.0, 263.0, 263.0, 115.0, 0.0"
2022-07-17,+16.4%,"0.0, 78.0"
2022-11-06,-25.1%,"0.0, 42.0, 0.0, 288.0"
2022-11-07,-23.9%,"0.0, 0.0, 999.0, 1.0, 0.0, 50.0, 35.0, 399.0, 670.0, 70.0, 186.0, 0.0"
2023-01-11,+17.5%,"1.0, 1.0, 1.0, 640.0, 1.0, 569.0"
2023-02-13,+15.3%,"1.0, 1.0, 750.0, 736.0, 1.0, 136.0, 922.0"
2023-03-10,+21.6%,"1.0, 200.0, 500.0, 700.0, 0.0, 500.0, 2.0, 516.0, 0.0, 0.0, 590.0, 1.0, 999.0, 0.0, 750.0, 800.0, 499.0, 940.0, 500.0, 500.0, 500.0, 500.0, 874.0, 511.0, 750.0, 1.0, 593.0, 400.0, 0.0, 661.0, 127.0, 998.0"
2023-03-11,+28.5%,"900.0, 1.0, 600.0, 900.0, 150.0, 1.0, 500.0, 900.0, 500.0, 515.0, 656.0, 1.0, 502.0, 700.0, 127.0, 559.0, 500.0, 501.0, 531.0, 162.0, 700.0, 0.0, 1.0, 500.0"
2023-03-12,+19.6%,"1.0, 1.0, 514.0, 100.0, 600.0, 800.0, 500.0, 900.0, 900.0, 1.0, 900.0"
2023-06-18,+16.7%,"320.0, 1.0, 386.0, 500.0, 532.0, 548.0, 383.0, 218.0, 931.0, 32.0, 32.0, 70.0, 383.0, 980.0, 681.0, 574.0, 450.0, 1.0, 385.0, 460.0, 301.0, 385.0, 549.0, 1.0, 217.0, 930.0, 549.0"
2023-10-20,+15.8%,"432.0, 1.0, 399.0, 966.0, 488.0, 833.0, 359.0, 165.0, 488.0, 695.0, 142.0, 402.0, 501.0, 675.0, 513.0, 442.0, 825.0, 794.0, 832.0, 402.0, 50.0, 413.0, 390.0, 394.0, 460.0, 441.0, 0.0, 700.0, 700.0, 705.0, 498.0, 850.0, 1.0, 500.0, 520.0, 0.0, 685.0, 689.0, 500.0, 597.0, 1.0, 404.0, 571.0, 374.0, 168.0, 200.0, 574.0, 566.0, 500.0, 500.0"
2023-10-21,+17.5%,"826.0, 826.0, 826.0, 1.0, 400.0, 1.0, 750.0, 449.0, 833.0, 832.0, 500.0, 1.0"
2023-10-22,+17.2%,"482.0, 406.0, 535.0, 352.0, 394.0, 612.0, 351.0, 1.0, 1.0, 1.0, 0.0, 900.0, 800.0, 0.0, 800.0"
2024-02-25,+23.5%,"139.0, 271.0, 257.0, 231.0, 1.0, 300.0, 289.0, 195.0, 1.0, 211.0, 247.0, 450.0, 252.0, 224.0, 440.0, 360.0, 292.0, 284.0, 1.0, 231.0"
